,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider,V3Glider:M0,V3Glider:M0,V3Glider:M0,V3Glider:M1,V3Glider:M1,V3Glider:M1,V3Glider:M2,V3Glider:M2,V3Glider:M2,V3Glider:M3,V3Glider:M3,V3Glider:M3,V3Glider:M4,V3Glider:M4,V3Glider:M4,V3Glider:M5,V3Glider:M5,V3Glider:M5
,ID,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,20890627EAEB11EEBD9122A53CA8668A,"1A031FEEFDD811EEBD9122A53CA8728A","1A031FEEFDD811EEBD9122A53CA8728A","1A031FEEFDD811EEBD9122A53CA8728A","1A031FF0FDD811EEBD9122A53CA8728A","1A031FF0FDD811EEBD9122A53CA8728A","1A031FF0FDD811EEBD9122A53CA8728A","1A031FEFFDD811EEBD9122A53CA8728A","1A031FEFFDD811EEBD9122A53CA8728A","1A031FEFFDD811EEBD9122A53CA8728A","1A031FF1FDD811EEBD9122A53CA8728A","1A031FF1FDD811EEBD9122A53CA8728A","1A031FF1FDD811EEBD9122A53CA8728A","1A031FF2FDD811EEBD9122A53CA8728A","1A031FF2FDD811EEBD9122A53CA8728A","1A031FF2FDD811EEBD9122A53CA8728A","1A031FEDFDD811EEBD9122A53CA8728A","1A031FEDFDD811EEBD9122A53CA8728A","1A031FEDFDD811EEBD9122A53CA8728A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.083333,-0.128142,0.988975,-0.074036,0.005281,2459.576172,1592.789307,-59.592735,2454.443359,1611.405151,-63.225769,2395.123291,1574.494385,-88.914238,2444.161621,1576.931396,-198.740936,2484.551514,1551.160156,-220.136642,2482.598389,1591.963989,100.758133,2439.656982,1609.839722,67.703117
21,0.087500,-0.126883,0.989105,-0.074512,0.004521,2460.037598,1594.913208,-59.468449,2454.991699,1613.464111,-63.066265,2395.239258,1576.768921,-88.854263,2444.456543,1579.016479,-198.561661,2484.804932,1553.016846,-220.087799,2483.196289,1594.363281,100.968964,2440.419922,1612.110229,67.897507
22,0.091667,-0.124133,0.989422,-0.074993,0.003474,2460.453369,1596.946411,-59.354103,2455.394043,1615.461670,-62.994270,2396.098145,1579.402222,-88.755539,2444.565430,1580.865723,-198.440781,2484.671387,1554.722534,-219.967987,2483.855469,1596.487183,101.016113,2441.090576,1614.291382,68.070328
23,0.095833,-0.122207,0.989643,-0.075273,0.002690,2460.948730,1599.026978,-59.247574,2456.016113,1617.545166,-62.930279,2395.962646,1581.602661,-88.256653,2444.846680,1582.923828,-198.286942,2484.852295,1556.637085,-219.869217,2484.571289,1598.520752,101.100235,2441.780273,1616.610840,68.158066
24,0.100000,-0.120762,0.989791,-0.075676,0.001675,2461.380859,1601.077515,-59.188278,2456.446045,1619.520386,-62.929646,2396.761475,1583.843018,-88.208061,2445.005371,1584.943848,-198.129471,2484.843994,1558.412354,-219.779709,2485.179199,1600.674316,101.260315,2442.402832,1618.797363,68.238617
25,0.104167,-0.118202,0.990070,-0.076085,0.000650,2461.833496,1603.141602,-59.097790,2457.077148,1621.675659,-62.835007,2396.688965,1586.104370,-87.901566,2445.256104,1586.976807,-197.997879,2484.779541,1560.183716,-219.682053,2485.903320,1602.775635,101.317390,2443.094238,1621.077515,68.354370
26,0.108333,-0.115686,0.990345,-0.076374,-0.000074,2462.259521,1605.177856,-58.944527,2457.555664,1623.749268,-62.628777,2397.018066,1588.588379,-87.753036,2445.374512,1588.934082,-197.883163,2484.844727,1562.093262,-219.476562,2486.484131,1604.847900,101.451981,2443.837646,1623.340210,68.456810
27,0.112500,-0.112353,0.990700,-0.076743,-0.000805,2462.781494,1607.242432,-58.811699,2458.283691,1625.886597,-62.503002,2397.633301,1590.948975,-87.649277,2445.592285,1591.001465,-197.792191,2484.896729,1563.861328,-219.309616,2487.071289,1606.858765,101.596039,2444.593262,1625.652222,68.570282
28,0.116667,-0.110562,0.990873,-0.077099,-0.001710,2463.222656,1609.299072,-58.655231,2458.622314,1627.926636,-62.320854,2397.755859,1593.191895,-87.221565,2445.707520,1592.951782,-197.620316,2485.025391,1565.687134,-219.178040,2487.631104,1608.830566,101.774475,2445.481934,1628.018921,68.695129
29,0.120833,-0.107483,0.991185,-0.077418,-0.002674,2463.798828,1611.429199,-58.505287,2459.403320,1630.172119,-62.225918,2398.563965,1595.686401,-87.032539,2446.050781,1595.064941,-197.417175,2484.960693,1567.618408,-218.922394,2488.309082,1610.950928,102.062393,2446.239258,1630.276001,68.831184
